State,District,villages,population,avg_travel_min,underserved,high_risk,mean_need,facilities,emergency_facilities,beds,facilities_directory,facilities_mapped
Bihar,Bhagalpur,604,8314370,112.48122516556292,139,161,0.4581533112582782,18,0,0,38,18
Bihar,Gaya,594,7931020,108.91119528619528,124,153,0.4481562289562289,16,0,0,44,16
Bihar,Muzaffarpur,589,7846257,106.6576740237691,135,158,0.4434176570458404,23,1,0,41,23
Bihar,Patna,582,7770509,104.45604810996564,113,134,0.4413426116838488,142,9,0,248,142
Madhya Pradesh,Bhopal,621,8268076,108.18342995169084,145,173,0.4516175523349436,108,0,0,146,108
Madhya Pradesh,Gwalior,608,8052366,104.8940789473684,125,151,0.4367440789473684,58,0,0,78,58
Madhya Pradesh,Indore,595,7832910,106.84085714285712,140,169,0.4516337815126051,203,30,0,244,203
Madhya Pradesh,Jabalpur,583,7813188,106.96008576329332,134,154,0.4474816466552315,59,0,0,76,59
Maharashtra,Aurangabad,609,8221955,103.93816091954024,130,157,0.4476494252873563,81,0,0,118,81
Maharashtra,Nagpur,610,7905007,107.14295081967212,137,166,0.4376281967213114,195,0,0,290,195
Maharashtra,Nashik,573,7790345,108.30429319371729,122,147,0.4523303664921466,110,0,0,176,110
Maharashtra,Pune,614,7912607,103.66555374592834,133,154,0.4299501628664495,463,18,0,660,463
Rajasthan,Jaipur,565,7547782,104.7976814159292,106,128,0.4377950442477876,0,0,0,408,0
Rajasthan,Jodhpur,596,8045993,109.71974832214764,141,164,0.4569667785234899,0,0,0,66,0
Rajasthan,Kota,623,8167571,102.66284109149277,123,151,0.4357417335473516,0,0,0,90,0
Rajasthan,Udaipur,620,8152692,108.57096774193548,142,166,0.4512990322580645,0,0,0,77,0
Uttar Pradesh,Kanpur,636,8418856,107.88331761006287,145,166,0.4434696540880503,0,0,0,189,0
Uttar Pradesh,Lucknow,590,7529392,106.89830508474576,129,150,0.4338676271186441,0,0,0,272,0
Uttar Pradesh,Prayagraj,557,6973516,107.9219748653501,120,151,0.4342310592459605,0,0,0,145,0
Uttar Pradesh,Varanasi,631,8205594,108.95450079239302,128,165,0.4448987321711569,0,0,0,169,0
