state,indicator,value,survey
New Delhi,Children with any anemia,69.6,2019-21
Haryana,Children with any anemia,70.8,2019-21
Himachal Pradesh,Children with any anemia,55.1,2019-21
"Jammu, Kashmir & Ladakh",Children with any anemia,73.0,2019-21
Jammu & Kashmir,Children with any anemia,72.7,2019-21
Ladakh,Children with any anemia,92.0,2019-21
Punjab,Children with any anemia,71.5,2019-21
Rajasthan,Children with any anemia,71.5,2019-21
Madhya Pradesh,Children with any anemia,73.6,2019-21
Chhattisgarh,Children with any anemia,68.1,2019-21
Uttar Pradesh,Children with any anemia,67.2,2019-21
Uttarakhand,Children with any anemia,58.8,2019-21
Bihar,Children with any anemia,70.5,2019-21
Jharkhand,Children with any anemia,69.2,2019-21
Odisha,Children with any anemia,65.4,2019-21
West Bengal,Children with any anemia,69.1,2019-21
Arunachal Pradesh,Children with any anemia,56.1,2019-21
Assam,Children with any anemia,70.3,2019-21
Manipur,Children with any anemia,43.1,2019-21
Meghalaya,Children with any anemia,44.2,2019-21
Mizoram,Children with any anemia,48.3,2019-21
Nagaland,Children with any anemia,42.7,2019-21
Sikkim,Children with any anemia,55.6,2019-21
Tripura,Children with any anemia,64.4,2019-21
Goa,Children with any anemia,53.5,2019-21
Gujarat,Children with any anemia,80.1,2019-21
Maharashtra,Children with any anemia,69.9,2019-21
Andhra Pradesh,Children with any anemia,64.2,2019-21
Telangana,Children with any anemia,70.3,2019-21
Karnataka,Children with any anemia,66.3,2019-21
Kerala,Children with any anemia,39.4,2019-21
Tamil Nadu,Children with any anemia,57.5,2019-21
Andaman and Nicobar Islands,Children with any anemia,40.0,2019-21
Chandigarh,Children with any anemia,53.7,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Children with any anemia,77.0,2019-21
Lakshadweep,Children with any anemia,43.1,2019-21
Puducherry,Children with any anemia,64.0,2019-21
New Delhi,Children with mild anemia,26.7,2019-21
Haryana,Children with mild anemia,26.3,2019-21
Himachal Pradesh,Children with mild anemia,26.2,2019-21
"Jammu, Kashmir & Ladakh",Children with mild anemia,22.8,2019-21
Jammu & Kashmir,Children with mild anemia,23.1,2019-21
Ladakh,Children with mild anemia,6.5,2019-21
Punjab,Children with mild anemia,25.5,2019-21
Rajasthan,Children with mild anemia,31.0,2019-21
Madhya Pradesh,Children with mild anemia,27.7,2019-21
Chhattisgarh,Children with mild anemia,28.1,2019-21
Uttar Pradesh,Children with mild anemia,28.4,2019-21
Uttarakhand,Children with mild anemia,24.4,2019-21
Bihar,Children with mild anemia,30.7,2019-21
Jharkhand,Children with mild anemia,31.7,2019-21
Odisha,Children with mild anemia,31.9,2019-21
West Bengal,Children with mild anemia,35.0,2019-21
Arunachal Pradesh,Children with mild anemia,28.4,2019-21
Assam,Children with mild anemia,36.3,2019-21
Manipur,Children with mild anemia,25.4,2019-21
Meghalaya,Children with mild anemia,24.3,2019-21
Mizoram,Children with mild anemia,25.1,2019-21
Nagaland,Children with mild anemia,26.9,2019-21
Sikkim,Children with mild anemia,25.6,2019-21
Tripura,Children with mild anemia,33.8,2019-21
Goa,Children with mild anemia,25.9,2019-21
Gujarat,Children with mild anemia,27.4,2019-21
Maharashtra,Children with mild anemia,29.2,2019-21
Andhra Pradesh,Children with mild anemia,26.6,2019-21
Telangana,Children with mild anemia,25.0,2019-21
Karnataka,Children with mild anemia,27.4,2019-21
Kerala,Children with mild anemia,24.0,2019-21
Tamil Nadu,Children with mild anemia,27.0,2019-21
Andaman and Nicobar Islands,Children with mild anemia,27.0,2019-21
Chandigarh,Children with mild anemia,25.6,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Children with mild anemia,32.3,2019-21
Lakshadweep,Children with mild anemia,31.8,2019-21
Puducherry,Children with mild anemia,23.3,2019-21
New Delhi,Children with moderate anemia,38.0,2019-21
Haryana,Children with moderate anemia,40.9,2019-21
Himachal Pradesh,Children with moderate anemia,26.8,2019-21
"Jammu, Kashmir & Ladakh",Children with moderate anemia,46.0,2019-21
Jammu & Kashmir,Children with moderate anemia,45.9,2019-21
Ladakh,Children with moderate anemia,47.8,2019-21
Punjab,Children with moderate anemia,40.9,2019-21
Rajasthan,Children with moderate anemia,38.5,2019-21
Madhya Pradesh,Children with moderate anemia,42.6,2019-21
Chhattisgarh,Children with moderate anemia,38.3,2019-21
Uttar Pradesh,Children with moderate anemia,36.7,2019-21
Uttarakhand,Children with moderate anemia,31.5,2019-21
Bihar,Children with moderate anemia,38.1,2019-21
Jharkhand,Children with moderate anemia,36.3,2019-21
Odisha,Children with moderate anemia,32.4,2019-21
West Bengal,Children with moderate anemia,33.2,2019-21
Arunachal Pradesh,Children with moderate anemia,25.7,2019-21
Assam,Children with moderate anemia,33.2,2019-21
Manipur,Children with moderate anemia,17.2,2019-21
Meghalaya,Children with moderate anemia,19.3,2019-21
