Hospital_Name,State,District,Subdistrict,lat,lon,beds,doctors,has_emergency,has_ambulance
Chakraborty Multi Speciality Hospital,Andaman and Nicobar Islands,South Andaman,0,11.6357989,92.7120575,0,0,False,False
Inhs Dhanvantri,Andaman and Nicobar Islands,South Andaman,0,11.8311681,92.6586401,0,0,False,False
Maricar Hospital,Andaman and Nicobar Islands,South Andaman,0,11.8311681,92.6586401,0,0,False,False
Pillar Health Centre,Andaman and Nicobar Islands,South Andaman,0,11.6498468,92.7294624,0,0,False,False
"G B Pant Hospital, Port Blair",Andaman and Nicobar Islands,South Andaman,0,11.6233774,92.7264828,0,0,True,False
"Care Hospital, Banjara",Andhra Pradesh,Hyderabad,0,17.4274003,78.4311174,0,0,True,False
Aasha Hospitals,Andhra Pradesh,Anantapur,0,14.6795736,77.592469,0,0,False,False
Baby Hospital,Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Dr Akbar Eye Hospital And Laser Centre,Andhra Pradesh,Anantapur,0,14.6723351,77.6018211,0,0,False,False
Hrudaya Children Hospital,Andhra Pradesh,Anantapur,0,14.6749908,77.6032432,0,0,False,False
"Jeevana Jyothi Hospitals Ltd.,",Andhra Pradesh,Anantapur,0,17.4738037,78.5641765,0,0,False,False
Meda Nursing Home,Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Mnr Nursing Home,Andhra Pradesh,Anantapur,0,14.6723351,77.6018211,0,0,False,False
Mythri Hospitals,Andhra Pradesh,Anantapur,0,14.6867872,77.5832307,0,0,False,False
Padmavathi Hospital,Andhra Pradesh,Anantapur,0,15.3474564,75.1253824,0,0,False,False
Pavani Multi Speciality Hospital,Andhra Pradesh,Anantapur,0,14.6742267,77.6025251,0,0,False,False
Prasanthi Nursing Home,Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Priya Multispeciality Hospital,Andhra Pradesh,Anantapur,0,14.6723351,77.6018211,0,0,False,False
Ravitej Nursing Home,Andhra Pradesh,Anantapur,0,14.6805847,77.6000775,0,0,False,False
Santhi Nursing Home,Andhra Pradesh,Anantapur,0,13.9860276,77.7658783,0,0,False,False
Sri Sai Balaji Hospital,Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Sri Sai Kurpa Nursing Home,Andhra Pradesh,Anantapur,0,13.6340453,79.4157431,0,0,False,False
Sri Sai Venkateshwara Surgical Clinic,Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Sudhir Surgical Clinic,Andhra Pradesh,Anantapur,0,14.9093514,78.0060388,0,0,False,False
Suma Eye Clinic,Andhra Pradesh,Anantapur,0,14.6755437,77.6036802,0,0,False,False
Swetha Ent Hospital,Andhra Pradesh,Anantapur,0,14.6755437,77.6036802,0,0,False,False
Varun Children's Hospital,Andhra Pradesh,Anantapur,0,19.0627033,72.9297396,0,0,False,False
Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Vijaya Nursing Home,Andhra Pradesh,Anantapur,0,14.6607456,77.6085681,0,0,False,False
Mamatha Nursing Home,Andhra Pradesh,Anantapur,0,13.0433764,80.1622367,0,0,False,False
Anantapuram Praja Vaidyasala,Andhra Pradesh,Anantapur,0,14.6735546,77.6081894,0,0,False,False
Balaji Nursing Home,Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Dr B V Syamala Ratnam Hospiatal,Andhra Pradesh,Anantapur,0,14.6818877,77.6005911,0,0,False,False
Girish Multispeciality Hospital,Andhra Pradesh,Anantapur,0,14.178135,77.2728241,0,0,False,False
Shilpa Hospital,Andhra Pradesh,Anantapur,0,13.8358978,77.5046101,0,0,False,False
Sreenivasa Nursing Home,Andhra Pradesh,Anantapur,0,13.8185378,77.4988753,0,0,False,False
Teja Nursing Home,Andhra Pradesh,Anantapur,0,13.8371751,77.4878898,0,0,False,False
Sharada Nursing Home and Falvia P Reddy Diagnostic,Andhra Pradesh,Anantapur,0,14.910003,78.0005407,0,0,False,False
Sri Kanchani Hospital,Andhra Pradesh,Anantapur,0,14.9070274,78.0092703,0,0,False,False
Devi Nursing Home,Andhra Pradesh,Anantapur,0,14.4137447,77.7126189,0,0,False,False
Spandana Hospital,Andhra Pradesh,Anantapur,0,14.4068919,77.7125679,0,0,False,False
Preethi Nursing Home,Andhra Pradesh,Anantapur,0,15.1622611,77.3826845,0,0,False,False
Dr. Ramalakshmi Nursing Home,Andhra Pradesh,Chittoor,0,13.217176,79.1003289,0,0,False,False
Dr. V. K. R. Nursing Home and Scan Centre,Andhra Pradesh,Chittoor,0,13.217176,79.1003289,0,0,False,False
Lakshmi Hospital,Andhra Pradesh,Chittoor,0,28.6481837,77.3709431,0,0,False,False
Sreelatha Modern Eye Hospital And Research Centre,Andhra Pradesh,Chittoor,0,13.217176,79.1003289,0,0,False,False
Sujatha Nursing Home,Andhra Pradesh,Chittoor,0,13.65,78.933333,0,0,False,False
Balaji Hospital,Andhra Pradesh,Chittoor,0,13.36592,78.5750141,0,0,False,False
Vijaya Nursing Home,Andhra Pradesh,Chittoor,0,13.36592,78.5750141,0,0,False,False
Balaji Multi Speciality Hospital,Andhra Pradesh,Chittoor,0,13.5508703,78.50597,0,0,False,False
Bhavya Child Care Center,Andhra Pradesh,Chittoor,0,13.5603491,78.5036065,0,0,False,False
Bhavyas Children Hospital,Andhra Pradesh,Chittoor,0,13.5508703,78.50597,0,0,False,False
Chandra Mohan's Nursing Home,Andhra Pradesh,Chittoor,0,13.5603491,78.5036065,0,0,False,False
Desai Hospital,Andhra Pradesh,Chittoor,0,13.5603491,78.5036065,0,0,False,False
Desai Hospital-Madanapalli,Andhra Pradesh,Chittoor,0,14.4656511,78.8330438,0,0,False,False
Emergency Hospital,Andhra Pradesh,Chittoor,0,18.4328566,79.1303578,0,0,False,False
Gupta Nursing Home,Andhra Pradesh,Chittoor,0,13.217176,79.1003289,0,0,False,False
Kathasagaram Hospitals,Andhra Pradesh,Chittoor,0,13.5529488,78.5086376,0,0,False,False
Leo Hospital,Andhra Pradesh,Chittoor,0,13.217176,79.1003289,0,0,False,False
M.V.L Hospital,Andhra Pradesh,Chittoor,0,13.5657237,78.5066868,0,0,False,False
Madanapalle Hospital Pvt Ltd,Andhra Pradesh,Chittoor,0,13.553374,78.5065719,0,0,False,False
Popular Nursing Home,Andhra Pradesh,Chittoor,0,30.3145962,78.0357476,0,0,False,False
Rama Orthopaedic Nursing Home,Andhra Pradesh,Chittoor,0,13.5603491,78.5036065,0,0,False,False
Shantharam Hospital,Andhra Pradesh,Chittoor,0,13.553374,78.5065719,0,0,False,False
Sri Kaveri Speciality Hospital,Andhra Pradesh,Chittoor,0,14.6818877,77.6005911,0,0,False,False
Usha Speciality Hospital,Andhra Pradesh,Chittoor,0,13.5603491,78.5036065,0,0,False,False
Viswa Orthopaedic Hospital,Andhra Pradesh,Chittoor,0,13.5603491,78.5036065,0,0,False,False
P E S Institute Of Medical Sciences and Research,Andhra Pradesh,Chittoor,0,12.7279579,78.3512397,0,0,False,False
Rathna Childrens and General Hospital,Andhra Pradesh,Chittoor,0,12.7510218,78.340196,0,0,False,False
Sri Priya Nursing Home,Andhra Pradesh,Chittoor,0,12.7470314,78.3330157,0,0,False,False
Apollo Multispeciality Hospital,Andhra Pradesh,Chittoor,0,13.6403071,79.4176391,0,0,False,False
Asalatha Medicare Pvt Lt,Andhra Pradesh,Chittoor,0,13.6320156,79.4260025,0,0,False,False
Balaji Institute Of Surgery Research And Rehabilit,Andhra Pradesh,Chittoor,0,13.217176,79.1003289,0,0,False,False
Balaji Orthopaedic And Trauma Hospital,Andhra Pradesh,Chittoor,0,13.6344095,79.425573,0,0,False,False
Bhaskar Allergy and Chest Hospital,Andhra Pradesh,Chittoor,0,13.6338436,79.4210045,0,0,False,False
Clinic Nisha,Andhra Pradesh,Chittoor,0,13.6338782,79.4195997,0,0,False,False
Dbr And Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,0,13.6244611,79.4310052,0,0,False,False
Eye Care Centre and Contact Lens Clinic,Andhra Pradesh,Chittoor,0,13.6287557,79.4191795,0,0,False,False
Harshitha Hospital,Andhra Pradesh,Chittoor,0,13.6361446,79.4204532,0,0,False,False
M S Hospital,Andhra Pradesh,Chittoor,0,13.6781837,79.352188,0,0,False,False
M.M Hospital,Andhra Pradesh,Chittoor,0,13.6287557,79.4191795,0,0,False,False
Manohari Nursing Home,Andhra Pradesh,Chittoor,0,13.6302513,79.4118237,0,0,False,False
Meghana Hospital,Andhra Pradesh,Chittoor,0,13.6287557,79.4191795,0,0,False,False
Navya Netralaya Eye Hospital,Andhra Pradesh,Chittoor,0,13.217176,79.1003289,0,0,False,False
Neelima Maternity Nursing Home,Andhra Pradesh,Chittoor,0,13.6390013,79.4272041,0,0,False,False
Nirmala Hospitals,Andhra Pradesh,Chittoor,0,13.6287557,79.4191795,0,0,False,False
Om Children Surgical Superspeciality Centre,Andhra Pradesh,Chittoor,0,13.6361446,79.4204532,0,0,False,False
Prameela Hospital,Andhra Pradesh,Chittoor,0,13.6287557,79.4191795,0,0,False,False
Prashanth Hospital,Andhra Pradesh,Chittoor,0,13.6338436,79.4210045,0,0,False,False
Raghavendra Urological Super Speciality Hospital (Russh Hospital),Andhra Pradesh,Chittoor,0,13.6244611,79.4310052,0,0,False,False
Rama Nursing Home,Andhra Pradesh,Chittoor,0,13.6361446,79.4204532,0,0,False,False
Ramya Hospital,Andhra Pradesh,Chittoor,0,13.6365271,79.4127143,0,0,False,False
Ravi Neuro and Emergency Hospital - Chittoor,Andhra Pradesh,Chittoor,0,13.6287557,79.4191795,0,0,False,False
Sakthi Medicals,Andhra Pradesh,Chittoor,0,13.6361446,79.4204532,0,0,False,False
Shyamala Nursing Home,Andhra Pradesh,Chittoor,0,13.6368739,79.4144319,0,0,False,False
Sree Emergency and Crticial Care Hospital,Andhra Pradesh,Chittoor,0,13.6157076,79.4125828,0,0,False,False
Sri Chakra Hospitals,Andhra Pradesh,Chittoor,0,13.6361446,79.4204532,0,0,False,False
Sri Padmavathi Multi Speciality Hospital,Andhra Pradesh,Chittoor,0,23.0866456,72.5630236,0,0,False,False
Sri Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,0,13.6388217,79.4204627,0,0,False,False
