Village_ID,Village_Name,District,State,Latitude,Longitude,Population,Male_Population,Female_Population,Elderly_Population,Child_Population,Hospital_Name,Facility_Type,Doctors_Count,Nurses_Count,Beds_Available,Emergency_Service,Distance_to_Hospital_km,Average_Travel_Time_min,Road_Connectivity,Ambulance_Availability,Accessibility_Score,Healthcare_Risk_Level,Doctor_Shortage_Flag,Underserved_Area_Flag,Monthly_Patient_Count,road_speed_kmph,risk_norm,Emergency_Service_bin,Ambulance_Availability_bin,Doctor_Shortage_Flag_bin,Underserved_Area_Flag_bin,need_score,Latitude_orig,Longitude_orig
V00001,Village_5506,Nashik,Maharashtra,19.933756941489836,73.82551710918902,9524,4656,4868,967,2809,Nashik_Medical_Center,PHC,38,56,21,Yes,2.76,7.33,Poor,Yes,100,Low,No,No,3536,12.0,0.2,1,1,0,0,0.1966,24.444177,83.2212
V00002,Village_5557,Prayagraj,Uttar Pradesh,25.068675086916155,81.75876868051259,1712,873,839,104,431,Prayagraj_Health_Center,PHC,14,45,57,Yes,6.47,14.82,Average,No,100,Low,No,No,3200,25.0,0.2,1,0,0,0,0.0636,24.567586,80.579649
V00003,Village_6925,Nagpur,Maharashtra,21.62070906858943,79.34753907679087,20418,9957,10461,1120,5970,Nagpur_Health_Center,PHC,15,14,199,No,17.4,67.98,Average,Yes,90,Low,No,No,684,25.0,0.2,0,1,0,0,0.412,21.197436,82.722803
V00004,Village_9751,Jodhpur,Rajasthan,26.415004426024247,72.74026203318083,9521,4632,4889,728,3315,Jodhpur_Medical_Center,District Hospital,36,30,171,No,50.73,219.56,Good,Yes,38,High,No,Yes,4746,40.0,1.0,0,1,0,1,0.6225,21.610483,73.059018
V00005,Village_9179,Gaya,Bihar,24.653619997246857,84.65780308044539,14464,7454,7010,1374,2954,Gaya_Care_Center,PHC,36,70,139,No,45.07,148.07,Poor,No,60,Medium,No,No,4274,12.0,0.5,0,0,0,0,0.4907,19.973887,87.960602
V00006,Village_1771,Bhopal,Madhya Pradesh,23.802110262803296,77.34512041701936,5092,2475,2617,311,1505,Bhopal_Medical_Center,PHC,25,50,244,No,32.22,158.3,Good,Yes,65,Medium,No,No,2504,40.0,0.5,0,1,0,0,0.3161,24.917389,77.442808
V00007,Village_8433,Indore,Madhya Pradesh,22.964347148195927,75.69348082465982,1606,832,774,178,360,Indore_Medical_Center,PHC,33,15,157,No,50.66,178.47,Good,Yes,45,Medium,No,No,4444,40.0,0.5,0,1,0,0,0.3168,24.862597,80.630064
V00008,Village_9005,Nagpur,Maharashtra,21.415597753484324,78.67006181460539,2138,1035,1103,161,742,Nagpur_Health_Center,PHC,4,32,295,Yes,56.87,128.35,Average,Yes,29,High,Yes,Yes,4603,25.0,1.0,1,1,1,1,0.5239,19.155523,79.604518
V00009,Village_9645,Kanpur,Uttar Pradesh,26.091444193619207,80.07598476632899,21376,10622,10754,1385,5807,Kanpur_Medical_Center,District Hospital,13,41,209,Yes,59.71,235.83,Average,No,10,High,No,Yes,272,25.0,1.0,1,0,0,1,0.9083,20.231151,73.024414
V00010,Village_4608,Jodhpur,Rajasthan,26.559319955120166,72.48815522452895,1735,837,898,163,379,Jodhpur_Care_Center,CHC,5,67,126,No,17.43,60.24,Poor,Yes,78,Low,No,No,3434,12.0,0.2,0,1,0,0,0.13,20.186975,79.567567
V00011,Village_2588,Lucknow,Uttar Pradesh,26.99152725760902,80.87822728294151,23093,11482,11611,1839,5990,Lucknow_Medical_Center,PHC,7,9,211,Yes,43.96,193.5,Good,Yes,25,High,No,Yes,3556,40.0,1.0,1,1,0,1,0.8926,19.71188,79.177817
V00012,Village_8579,Kanpur,Uttar Pradesh,26.36409866532028,80.46499099725705,9685,4987,4698,535,3073,Kanpur_Medical_Center,PHC,4,3,52,No,55.66,253.04,Good,No,10,High,Yes,Yes,580,40.0,1.0,0,0,1,1,0.7093,22.332226,85.834406
