ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
IND,New Delhi,6457363,Children with any anemia,57,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413000,1413000,Region,New Delhi,0,,0,1,CNANMCCANY,IADHS2006413000,2005-06,DHS,258,645,,,1
IND,Haryana,1224708,Children with any anemia,72.3,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413001,1413010,Region,Haryana,0,,0,1,CNANMCCANY,IADHS2006413001,2005-06,DHS,843,1027,,,1
IND,Himachal Pradesh,3130035,Children with any anemia,54.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413002,1413020,Region,Himachal Pradesh,0,,0,1,CNANMCCANY,IADHS2006413002,2005-06,DHS,199,801,,,1
IND,"Jammu, Kashmir & Ladakh",7291680,Children with any anemia,58.6,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413003,1413030,Region,"Jammu, Kashmir & Ladakh",0,,0,1,CNANMCCANY,IADHS2006413003,2005-06,DHS,330,901,,,1
IND,Punjab,7624283,Children with any anemia,66.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413005,1413050,Region,Punjab,0,,0,1,CNANMCCANY,IADHS2006413005,2005-06,DHS,851,1018,,,1
IND,Rajasthan,3684966,Children with any anemia,69.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413006,1413060,Region,Rajasthan,0,,0,1,CNANMCCANY,IADHS2006413006,2005-06,DHS,2958,1650,,,1
IND,"Madhya Pradesh, inc Chhattisgarh",3813841,Children with any anemia,73.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413007,1413070,Region,"Madhya Pradesh, inc Chhattisgarh",0,,0,1,CNANMCCANY,IADHS2006413007,2005-06,DHS,4319,3840,,,
IND,Madhya Pradesh,4986722,Children with any anemia,74.1,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413008,1413080,Region,..Madhya Pradesh,0,,0,1,CNANMCCANY,IADHS2006413008,2005-06,DHS,3307,2538,,,1
IND,Chhattisgarh,4565590,Children with any anemia,71.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413009,1413090,Region,..Chhattisgarh,0,,0,1,CNANMCCANY,IADHS2006413009,2005-06,DHS,1013,1302,,,1
IND,"Uttar Pradesh, inc Uttarakhand",7629857,Children with any anemia,73.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413010,1413100,Region,"Uttar Pradesh, inc Uttarakhand",0,,0,1,CNANMCCANY,IADHS2006413010,2005-06,DHS,7875,5603,,,
IND,Uttar Pradesh,1496210,Children with any anemia,73.9,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413011,1413110,Region,..Uttar Pradesh,0,,0,1,CNANMCCANY,IADHS2006413011,2005-06,DHS,7582,4705,,,1
IND,Uttarakhand,6343779,Children with any anemia,61.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413012,1413120,Region,..Uttarakhand,0,,0,1,CNANMCCANY,IADHS2006413012,2005-06,DHS,293,898,,,1
IND,"Bihar, inc Jharkhand",1088500,Children with any anemia,76.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413013,1413130,Region,"Bihar, inc Jharkhand",0,,0,1,CNANMCCANY,IADHS2006413013,2005-06,DHS,6620,3152,,,
IND,Bihar,3146550,Children with any anemia,78,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413014,1413140,Region,..Bihar,0,,0,1,CNANMCCANY,IADHS2006413014,2005-06,DHS,5204,1880,,,1
IND,Jharkhand,7233775,Children with any anemia,70.3,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413015,1413150,Region,..Jharkhand,0,,0,1,CNANMCCANY,IADHS2006413015,2005-06,DHS,1416,1272,,,1
IND,Odisha,3129970,Children with any anemia,65,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413016,1413160,Region,Odisha,0,,0,1,CNANMCCANY,IADHS2006413016,2005-06,DHS,1563,1393,,,1
IND,West Bengal,204091,Children with any anemia,61,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413017,1413170,Region,West Bengal,0,,0,1,CNANMCCANY,IADHS2006413017,2005-06,DHS,3352,1851,,,1
IND,Arunachal Pradesh,876866,Children with any anemia,56.9,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413018,1413180,Region,Arunachal Pradesh,0,,0,1,CNANMCCANY,IADHS2006413018,2005-06,DHS,56,722,,,1
IND,Assam,6480142,Children with any anemia,69.6,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413019,1413190,Region,Assam,0,,0,1,CNANMCCANY,IADHS2006413019,2005-06,DHS,1061,1129,,,1
IND,Manipur,7519688,Children with any anemia,41.1,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413020,1413200,Region,Manipur,0,,0,1,CNANMCCANY,IADHS2006413020,2005-06,DHS,92,1474,,,1
IND,Meghalaya,6001179,Children with any anemia,64.4,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413021,1413210,Region,Meghalaya,0,,0,1,CNANMCCANY,IADHS2006413021,2005-06,DHS,122,748,,,1
IND,Mizoram,7291730,Children with any anemia,44.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413022,1413220,Region,Mizoram,0,,0,1,CNANMCCANY,IADHS2006413022,2005-06,DHS,45,741,,,1
IND,Sikkim,7531934,Children with any anemia,59.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413024,1413240,Region,Sikkim,0,,0,1,CNANMCCANY,IADHS2006413024,2005-06,DHS,20,526,,,1
IND,Tripura,3665243,Children with any anemia,62.9,1,IA,India,2006,IA2006DHS,CN_ANMC_C_ANY,104466010,I,413025,1413250,Region,Tripura,0,,0,1,CNANMCCANY,IADHS2006413025,2005-06,DHS,136,527,,,1
