name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,600,19182663,1831365,7.92,1831365,7.92,7904864,7.95,7904864,7.95,17896276,8.35,17896276,8.35,4921543,8.56,4921543,8.56,1685122,7.72,1685122,7.72,8.29,19182663,8.29
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,1200,37482651,3603609,15.58,1772244,7.66,15568339,15.66,7663475,7.71,34915242,16.29,17018966,7.94,9577422,16.66,4655879,8.1,3346532,15.33,1661410,7.61,16.2,18299988,7.91
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,1800,57595004,5604168,24.23,2000559,8.65,24185539,24.32,8617200,8.67,53574433,25.0,18659191,8.71,14617372,25.43,5039950,8.77,5217755,23.9,1871223,8.57,24.9,20112353,8.69
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,2400,83875798,8254658,35.69,2650490,11.46,35572097,35.77,11386558,11.45,77894252,36.35,24319819,11.35,21137692,36.77,6520320,11.34,7725009,35.38,2507254,11.48,36.26,26280794,11.36
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,3000,116280696,11508022,49.75,3253364,14.06,49640395,49.92,14068298,14.15,107840311,50.32,29946059,13.97,29190885,50.78,8053193,14.01,10857424,49.73,3132415,14.35,50.27,32404898,14.01
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,3600,150707989,14945013,64.61,3436991,14.86,64490455,64.85,14850060,14.93,139670086,65.18,31829775,14.85,37748629,65.66,8557744,14.89,14170557,64.9,3313133,15.17,65.15,34427293,14.88
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,4200,181061141,17950832,77.61,3005819,12.99,77517327,77.95,13026872,13.1,167744077,78.28,28073991,13.1,45277215,78.76,7528586,13.1,17080645,78.23,2910088,13.33,78.27,30353152,13.12
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,4800,199985099,19849714,85.81,1898882,8.21,85702757,86.18,8185430,8.23,185233763,86.44,17489686,8.16,49934476,86.86,4657261,8.1,18908275,86.6,1827630,8.37,86.46,18923958,8.18
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,5400,212570810,21143974,91.41,1294260,5.6,91197242,91.71,5494485,5.53,196894498,91.88,11660735,5.44,52995427,92.18,3060951,5.32,20094862,92.03,1186587,5.43,91.9,12585711,5.44
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,6000,219126340,21815483,94.31,671509,2.9,94042118,94.57,2844876,2.86,202955046,94.71,6060548,2.83,54583724,94.95,1588297,2.76,20726108,94.92,631246,2.89,94.73,6555530,2.83
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,6600,224063208,22334931,96.56,519448,2.25,96208456,96.74,2166338,2.18,207537768,96.85,4582722,2.14,55763268,97.0,1179544,2.05,21182873,97.02,456765,2.09,96.86,4936868,2.13
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,hospitals,TIME,7200,226340363,22582943,97.63,248012,1.07,97220603,97.76,1012147,1.02,209657594,97.84,2119826,0.99,56305847,97.94,542579,0.94,21387536,97.95,204663,0.94,97.85,2277155,0.98
