name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,600,1525868,107331,0.46,107331,0.46,526104,0.53,526104,0.53,1403049,0.65,1403049,0.65,407124,0.71,407124,0.71,154536,0.71,154536,0.71,0.66,1525868,0.66
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,1200,3663491,261849,1.13,154518,0.67,1277552,1.28,751448,0.76,3367989,1.57,1964940,0.92,973333,1.69,566209,0.98,371653,1.7,217117,0.99,1.58,2137623,0.92
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,1800,4761952,351077,1.52,89228,0.39,1696109,1.71,418557,0.42,4375307,2.04,1007318,0.47,1253780,2.18,280447,0.49,485628,2.22,113975,0.52,2.06,1098461,0.47
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,2400,6408499,501080,2.17,150003,0.65,2337299,2.35,641190,0.64,5903515,2.75,1528208,0.71,1675831,2.92,422051,0.73,638192,2.92,152564,0.7,2.77,1646547,0.71
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,3000,10993899,943019,4.08,441939,1.91,4156341,4.18,1819042,1.83,10202656,4.76,4299141,2.01,2871286,4.99,1195455,2.08,1019765,4.67,381573,1.75,4.75,4585400,1.98
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,3600,15103966,1326058,5.73,383039,1.66,5797096,5.83,1640755,1.65,14024504,6.54,3821848,1.78,3926735,6.83,1055449,1.84,1393416,6.38,373651,1.71,6.53,4110067,1.78
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,4200,21695089,1913709,8.27,587651,2.54,8395659,8.44,2598563,2.61,20133370,9.4,6108866,2.85,5628589,9.79,1701854,2.96,2012678,9.22,619262,2.84,9.38,6591123,2.85
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,4800,28060022,2486236,10.75,572527,2.48,10916369,10.98,2520710,2.53,26032749,12.15,5899379,2.75,7269658,12.65,1641069,2.85,2610536,11.96,597858,2.74,12.13,6364933,2.75
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,5400,35082655,3159307,13.66,673071,2.91,13808049,13.88,2891680,2.91,32533671,15.18,6500922,3.03,9031932,15.71,1762274,3.07,3278219,15.01,667683,3.06,15.17,7022633,3.04
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,6000,43424768,3985700,17.23,826393,3.57,17335438,17.43,3527389,3.55,40243684,18.78,7710013,3.6,11078311,19.27,2046379,3.56,4083722,18.7,805503,3.69,18.77,8342113,3.61
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,6600,53189023,4958324,21.44,972624,4.2,21466694,21.59,4131256,4.15,49258644,22.99,9014960,4.21,13446203,23.39,2367892,4.12,5035980,23.06,952258,4.36,22.99,9764255,4.22
Uttar Pradesh,IN-UP,1811400B11231190780494,IND,ADM1,primary_healthcare,TIME,7200,62446533,5894568,25.48,936244,4.05,25449498,25.59,3982804,4.0,57830632,26.99,8571988,4.0,15705132,27.32,2258929,3.93,5913931,27.09,877951,4.02,27.0,9257510,4.0
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,600,5426523,343840,3.44,343840,3.44,1456591,3.61,1456591,3.61,4965228,4.35,4965228,4.35,1474953,4.33,1474953,4.33,574091,3.88,574091,3.88,4.29,5426523,4.29
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,1200,16844852,1157174,11.58,813334,8.14,4716743,11.69,3260152,8.08,15468860,13.55,10503632,9.2,4644040,13.64,3169087,9.31,1726132,11.66,1152041,7.78,13.33,11418329,9.04
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,1800,24986827,1764827,17.66,607653,6.08,7127909,17.67,2411166,5.98,23019408,20.16,7550548,6.61,6908226,20.3,2264186,6.65,2486801,16.8,760669,5.14,19.77,8141975,6.44
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,2400,29687975,2132016,21.33,367189,3.67,8563667,21.23,1435758,3.56,27397774,23.99,4378366,3.83,8220559,24.15,1312333,3.86,2907302,19.64,420501,2.84,23.49,4701148,3.72
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,3000,33391799,2422535,24.24,290519,2.91,9700042,24.05,1136375,2.82,30859703,27.02,3461929,3.03,9269464,27.23,1048905,3.08,3226186,21.79,318884,2.15,26.42,3703824,2.93
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,3600,35264408,2568980,25.7,146445,1.47,10269252,25.46,569210,1.41,32590986,28.54,1731283,1.52,9797183,28.78,527719,1.55,3406436,23.01,180250,1.22,27.91,1872609,1.48
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,4200,36838500,2691376,26.93,122396,1.22,10747406,26.64,478154,1.19,34034414,29.81,1443428,1.26,10236993,30.08,439810,1.29,3569820,24.11,163384,1.1,29.15,1574092,1.25
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,4800,38251721,2802165,28.04,110789,1.11,11180013,27.72,432607,1.07,35331138,30.94,1296724,1.14,10631869,31.24,394876,1.16,3715693,25.09,145873,0.99,30.27,1413221,1.12
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,5400,39932367,2933321,29.35,131156,1.31,11691563,28.98,511550,1.27,36863813,32.28,1532675,1.34,11100107,32.61,468238,1.38,3898598,26.33,182905,1.24,31.6,1680646,1.33
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,6000,41422806,3049892,30.52,116571,1.17,12153266,30.13,461703,1.14,38211120,33.46,1347307,1.18,11509868,33.82,409761,1.2,4072710,27.51,174112,1.18,32.78,1490439,1.18
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,6600,43296442,3196571,31.98,146679,1.47,12738009,31.58,584743,1.45,39897249,34.94,1686129,1.48,12022078,35.32,512210,1.5,4299163,29.04,226453,1.53,34.26,1873636,1.48
Mahārāshtra,IN-MH,1811400B15614733245507,IND,ADM1,primary_healthcare,TIME,7200,45273444,3356454,33.58,159883,1.6,13372602,33.15,634593,1.57,41671473,36.49,1774224,1.55,12554046,36.88,531968,1.56,4543036,30.68,243873,1.65,35.83,1977002,1.56
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,1800,3791,377,0.22,377,0.22,1484,0.2,1484,0.2,3570,0.21,3570,0.21,1002,0.21,1002,0.21,300,0.32,300,0.32,0.22,3791,0.22
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,2400,5415,546,0.32,169,0.1,2141,0.29,657,0.09,5099,0.3,1529,0.09,1423,0.3,421,0.09,428,0.45,128,0.13,0.31,1624,0.09
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,3000,7259,760,0.44,214,0.12,2948,0.4,807,0.11,6842,0.41,1743,0.1,1884,0.39,461,0.1,567,0.6,139,0.15,0.42,1844,0.11
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,3600,10190,1099,0.64,339,0.2,4213,0.57,1265,0.17,9617,0.57,2775,0.17,2614,0.55,730,0.15,784,0.82,217,0.23,0.59,2931,0.17
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,4200,27706,2945,1.71,1846,1.07,11437,1.55,7224,0.98,26352,1.57,16735,1.0,7331,1.53,4717,0.99,1929,2.03,1145,1.2,1.6,17516,1.01
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,4800,46881,5043,2.93,2098,1.22,19555,2.65,8118,1.1,44729,2.67,18377,1.1,12416,2.6,5085,1.06,3127,3.28,1198,1.26,2.7,19175,1.11
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,5400,79102,8721,5.06,3678,2.14,33460,4.54,13905,1.88,75318,4.49,30589,1.83,20521,4.29,8105,1.69,5427,5.7,2300,2.42,4.56,32221,1.86
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,6000,103212,11274,6.55,2553,1.48,43650,5.92,10190,1.38,98415,5.87,23097,1.38,26938,5.63,6417,1.34,6941,7.29,1514,1.59,5.95,24110,1.39
Arunāchal Pradesh,IN-AR,1811400B16134215155042,IND,ADM1,primary_healthcare,TIME,6600,118730,12997,7.55,1723,1.0,50297,6.82,6647,0.9,113246,6.76,14831,0.88,30940,6.47,4002,0.84,7952,8.35,1011,1.06,6.84,15518,0.89
