Village_ID,Village_Name,District,State,Latitude,Longitude,Population,Male_Population,Female_Population,Elderly_Population,Child_Population,Hospital_Name,Facility_Type,Doctors_Count,Nurses_Count,Beds_Available,Emergency_Service,Distance_to_Hospital_km,Average_Travel_Time_min,Road_Connectivity,Ambulance_Availability,Accessibility_Score,Healthcare_Risk_Level,Doctor_Shortage_Flag,Underserved_Area_Flag,Monthly_Patient_Count
V00001,Village_5506,Nashik,Maharashtra,24.444177,83.2212,9524,4656,4868,967,2809,Nashik_Medical_Center,PHC,38,56,21,Yes,2.76,7.33,Poor,Yes,100,Low,No,No,3536
V00002,Village_5557,Prayagraj,Uttar Pradesh,24.567586,80.579649,1712,873,839,104,431,Prayagraj_Health_Center,PHC,14,45,57,Yes,6.47,14.82,Average,No,100,Low,No,No,3200
V00003,Village_6925,Nagpur,Maharashtra,21.197436,82.722803,20418,9957,10461,1120,5970,Nagpur_Health_Center,PHC,15,14,199,No,17.4,67.98,Average,Yes,90,Low,No,No,684
V00004,Village_9751,Jodhpur,Rajasthan,21.610483,73.059018,9521,4632,4889,728,3315,Jodhpur_Medical_Center,District Hospital,36,30,171,No,50.73,219.56,Good,Yes,38,High,No,Yes,4746
V00005,Village_9179,Gaya,Bihar,19.973887,87.960602,14464,7454,7010,1374,2954,Gaya_Care_Center,PHC,36,70,139,No,45.07,148.07,Poor,No,60,Medium,No,No,4274
V00006,Village_1771,Bhopal,Madhya Pradesh,24.917389,77.442808,5092,2475,2617,311,1505,Bhopal_Medical_Center,PHC,25,50,244,No,32.22,158.3,Good,Yes,65,Medium,No,No,2504
V00007,Village_8433,Indore,Madhya Pradesh,24.862597,80.630064,1606,832,774,178,360,Indore_Medical_Center,PHC,33,15,157,No,50.66,178.47,Good,Yes,45,Medium,No,No,4444
V00008,Village_9005,Nagpur,Maharashtra,19.155523,79.604518,2138,1035,1103,161,742,Nagpur_Health_Center,PHC,4,32,295,Yes,56.87,128.35,Average,Yes,29,High,Yes,Yes,4603
V00009,Village_9645,Kanpur,Uttar Pradesh,20.231151,73.024414,21376,10622,10754,1385,5807,Kanpur_Medical_Center,District Hospital,13,41,209,Yes,59.71,235.83,Average,No,10,High,No,Yes,272
V00010,Village_4608,Jodhpur,Rajasthan,20.186975,79.567567,1735,837,898,163,379,Jodhpur_Care_Center,CHC,5,67,126,No,17.43,60.24,Poor,Yes,78,Low,No,No,3434
